xmi,left_currency,right_currency,direction,quantity,price
XMBER011BRFF,BRL,SAR,ASK,69.53,1.5523
XMBER011BRFF,SAR,BRL,BID,48.55,1.3903
XMBER011BRFF,SAR,BRL,BID,101.7,0.7982
XMBER011BRFF,SAR,BRL,BID,105.47,1.9953
XMBER007SAFF,BRL,SAR,BID,29.17,0.8004
XMBER011BRFF,SAR,BRL,BID,1.32,0.5618
XMBER007SAFF,SAR,BRL,ASK,46.81,1.4315
XMBER011BRFF,BRL,SAR,ASK,9.53,0.8125
XMBER007SAFF,SAR,BRL,ASK,46.13,0.7087
XMBER011BRFF,SAR,BRL,BID,89.44,1.8514
XMBER011BRFF,BRL,SAR,ASK,104.26,1.0129
XMBER011BRFF,SAR,BRL,BID,0.19,1.8116
XMBER011BRFF,BRL,SAR,ASK,30.24,1.9237
XMBER011BRFF,SAR,BRL,BID,43.57,1.1028
XMBER007SAFF,BRL,SAR,BID,117.77,1.4422
XMBER011BRFF,SAR,BRL,BID,43.93,1.5449
XMBER011BRFF,SAR,BRL,BID,88.64,1.3824
XMBER011BRFF,BRL,SAR,ASK,68.11,1.9228
XMBER007SAFF,BRL,SAR,BID,19.89,1.6341
XMBER011BRFF,SAR,BRL,BID,83.67,1.2016
XMBER011BRFF,BRL,SAR,ASK,36.65,1.1948
XMBER011BRFF,SAR,BRL,BID,54.86,0.5141
XMBER007SAFF,SAR,BRL,ASK,80.06,1.6635
XMBER007SAFF,SAR,BRL,ASK,51.22,0.98
XMBER007SAFF,SAR,BRL,ASK,103.56,1.2701
XMBER011BRFF,SAR,BRL,BID,31.26,1.5625
XMBER007SAFF,SAR,BRL,ASK,2.34,1.7547
XMBER007SAFF,SAR,BRL,ASK,3.56,0.903
XMBER011BRFF,SAR,BRL,BID,105.81,1.8209
XMBER011BRFF,SAR,BRL,BID,76.08,0.704
